epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,696.538,0.44503,0.28057,0.29489,0.77095,0.95691,0.77861,0.76074,0.92059,0.70822,0.77861,0.76074,0.8918,0.86352,0.82954,0.64872,0.07745,0.82046,1.27817,0.000138495,0.000138495,0.000138495
61,708.506,0.44577,0.26459,0.28019,0.73407,0.94857,0.78302,0.79435,0.93763,0.748,0.78302,0.79435,0.8833,0.84675,0.87073,0.68202,0.06319,0.80718,1.34229,0.000135198,0.000135198,0.000135198
62,717.808,0.43184,0.30234,0.28513,0.701,0.94303,0.7316,0.90825,0.94393,0.75069,0.7316,0.90825,0.9377,0.85401,0.79418,0.66696,0.07322,0.79767,1.27443,0.000131901,0.000131901,0.000131901
63,729.87,0.4458,0.27172,0.27692,0.72787,0.94991,0.77869,0.83164,0.93022,0.74296,0.77332,0.82627,0.9156,0.85842,0.82071,0.65769,0.07704,0.85752,1.27522,0.000128605,0.000128605,0.000128605
64,742.231,0.45972,0.28489,0.27382,0.7224,0.95279,0.64172,0.93629,0.94476,0.73666,0.64359,0.89872,0.93031,0.86484,0.79093,0.64164,0.07887,0.84046,1.28323,0.000125308,0.000125308,0.000125308
65,751.871,0.43473,0.26437,0.26863,0.71427,0.94064,0.77579,0.83253,0.90942,0.71925,0.77579,0.83253,0.9061,0.84819,0.8451,0.62599,0.07314,0.84063,1.32187,0.000122011,0.000122011,0.000122011
66,764.031,0.43397,0.27857,0.29279,0.70711,0.94822,0.8112,0.75029,0.9198,0.72249,0.8112,0.75029,0.8663,0.83677,0.84917,0.74676,0.07474,0.91861,1.32311,0.000118714,0.000118714,0.000118714
67,776.659,0.41758,0.25918,0.28415,0.68563,0.93883,0.68516,0.89857,0.93513,0.73556,0.68516,0.89857,0.93088,0.87655,0.81007,0.61098,0.06965,0.84129,1.31113,0.000115418,0.000115418,0.000115418
68,786.47,0.439,0.25231,0.28183,0.72823,0.94968,0.73075,0.91089,0.92747,0.72727,0.73075,0.91089,0.92277,0.85343,0.78546,0.62307,0.06203,0.82647,1.29222,0.000112121,0.000112121,0.000112121
69,798.436,0.44199,0.2418,0.28776,0.71866,0.94738,0.75573,0.81348,0.9091,0.71807,0.75573,0.81348,0.85621,0.8144,0.80779,0.77502,0.07019,0.94266,1.29995,0.000108824,0.000108824,0.000108824
70,810.836,0.4071,0.26336,0.27491,0.6736,0.93607,0.64631,0.89105,0.91081,0.72652,0.64631,0.89105,0.90616,0.83018,0.80788,0.67356,0.071,0.84034,1.28731,0.000105528,0.000105528,0.000105528
71,820.845,0.41488,0.23552,0.27172,0.65745,0.94046,0.77625,0.78702,0.92929,0.73057,0.77625,0.78702,0.87529,0.83934,0.80806,0.74536,0.08305,0.8782,1.27836,0.000102231,0.000102231,0.000102231
72,832.383,0.41876,0.25669,0.2809,0.66748,0.93472,0.7514,0.90357,0.93985,0.76319,0.7514,0.90357,0.93514,0.88335,0.76534,0.50824,0.06672,0.71729,1.24611,9.89343e-05,9.89343e-05,9.89343e-05
73,844.917,0.4005,0.23462,0.26158,0.66604,0.93456,0.68594,0.9,0.91696,0.71926,0.68594,0.9,0.91448,0.84702,0.82507,0.68481,0.06935,0.85246,1.30876,9.56376e-05,9.56376e-05,9.56376e-05
74,855.287,0.41332,0.26495,0.27076,0.66311,0.9353,0.71321,0.89105,0.92525,0.7192,0.71321,0.89105,0.92116,0.84055,0.86504,0.65399,0.0649,0.85373,1.35673,9.23409e-05,9.23409e-05,9.23409e-05
75,866.62,0.41604,0.24221,0.26828,0.66457,0.93159,0.6785,0.82416,0.91331,0.72028,0.81332,0.71881,0.89704,0.81668,0.8355,0.75507,0.06964,0.92073,1.31556,8.90442e-05,8.90442e-05,8.90442e-05
76,878.422,0.40882,0.22441,0.27,0.64319,0.93537,0.61535,0.91556,0.92581,0.72877,0.61535,0.91556,0.92131,0.84746,0.84115,0.65133,0.06939,0.87488,1.32617,8.57475e-05,8.57475e-05,8.57475e-05
77,889.742,0.38994,0.22383,0.26997,0.61626,0.92844,0.73841,0.84049,0.88234,0.68389,0.73841,0.84049,0.82431,0.80344,0.84442,0.70002,0.06633,0.93461,1.33209,8.24508e-05,8.24508e-05,8.24508e-05
78,899.795,0.39233,0.23332,0.26893,0.63371,0.92943,0.64011,0.89879,0.93471,0.75181,0.64011,0.89879,0.92917,0.8488,0.81369,0.67967,0.06761,0.87499,1.31768,7.91541e-05,7.91541e-05,7.91541e-05
79,911.981,0.39861,0.21625,0.26157,0.63887,0.93136,0.71823,0.83003,0.93346,0.75443,0.71823,0.83003,0.92926,0.85717,0.82678,0.64157,0.06643,0.8591,1.31281,7.58574e-05,7.58574e-05,7.58574e-05
80,923.999,0.40347,0.2265,0.26843,0.66879,0.94665,0.72878,0.83664,0.92108,0.73722,0.72878,0.83664,0.86885,0.82974,0.85523,0.68713,0.06776,0.90172,1.32682,7.25607e-05,7.25607e-05,7.25607e-05
81,936.952,0.39992,0.2206,0.25803,0.64127,0.93713,0.79905,0.77796,0.90831,0.71957,0.79905,0.77796,0.90192,0.83,0.8239,0.70218,0.06799,0.85337,1.33978,6.9264e-05,6.9264e-05,6.9264e-05
82,949.161,0.38538,0.21575,0.25871,0.59965,0.92786,0.74364,0.78448,0.8933,0.70606,0.74364,0.78448,0.83991,0.81686,0.82045,0.75221,0.06132,0.90332,1.31307,6.59673e-05,6.59673e-05,6.59673e-05
83,961.246,0.3798,0.21025,0.26779,0.59527,0.92577,0.74611,0.77106,0.92596,0.72889,0.74611,0.77106,0.87289,0.83999,0.8508,0.71021,0.0642,0.88859,1.33737,6.26706e-05,6.26706e-05,6.26706e-05
84,971.123,0.38821,0.23138,0.27118,0.60377,0.9271,0.63232,0.91431,0.94717,0.74665,0.81789,0.74899,0.89202,0.86207,0.80419,0.65551,0.06162,0.85139,1.29425,5.93739e-05,5.93739e-05,5.93739e-05
85,983.081,0.38916,0.21503,0.2584,0.61088,0.93122,0.72997,0.83857,0.94096,0.74336,0.72997,0.83857,0.88379,0.85403,0.82924,0.67282,0.06639,0.83512,1.32307,5.60772e-05,5.60772e-05,5.60772e-05
86,995.347,0.37682,0.21334,0.25846,0.60644,0.91945,0.72187,0.84401,0.95092,0.73838,0.72187,0.84401,0.94183,0.85669,0.84836,0.68485,0.05956,0.84104,1.33331,5.27805e-05,5.27805e-05,5.27805e-05
87,1005.55,0.36957,0.19659,0.26251,0.59616,0.9246,0.66254,0.89349,0.95342,0.74512,0.66254,0.89349,0.9419,0.86658,0.84535,0.68398,0.05567,0.84627,1.36207,4.94838e-05,4.94838e-05,4.94838e-05
88,1016.77,0.37847,0.18499,0.24997,0.59411,0.92503,0.65172,0.90263,0.91192,0.72188,0.65172,0.90263,0.90021,0.81345,0.82459,0.74364,0.05733,0.92523,1.32007,4.61871e-05,4.61871e-05,4.61871e-05
89,1028.46,0.38033,0.19908,0.24721,0.59875,0.91772,0.64837,0.896,0.94513,0.7603,0.8335,0.71042,0.88367,0.8453,0.82481,0.67397,0.06052,0.84692,1.32168,4.28904e-05,4.28904e-05,4.28904e-05
90,1039.29,0.38452,0.20772,0.25983,0.60865,0.93183,0.77128,0.76897,0.93271,0.74294,0.77128,0.76897,0.86727,0.82832,0.82572,0.68341,0.06131,0.81968,1.29805,3.95937e-05,3.95937e-05,3.95937e-05
91,1051.18,0.27266,0.15097,0.04647,0.36368,0.85801,0.60238,0.93539,0.92604,0.73474,0.86707,0.73563,0.86661,0.84576,0.8322,0.58437,0.04674,0.73572,1.36516,3.6297e-05,3.6297e-05,3.6297e-05
92,1063.07,0.24723,0.1252,0.04509,0.29764,0.84908,0.6207,0.94502,0.92854,0.72353,0.82418,0.77558,0.86663,0.84317,0.83006,0.59565,0.04604,0.74801,1.36943,3.30003e-05,3.30003e-05,3.30003e-05
93,1074.54,0.23928,0.1351,0.04372,0.28788,0.84299,0.71468,0.84743,0.92438,0.7265,0.71468,0.84743,0.86665,0.84821,0.83564,0.6443,0.04628,0.8222,1.37606,2.97036e-05,2.97036e-05,2.97036e-05
94,1083.75,0.23172,0.11986,0.04278,0.27626,0.83499,0.82346,0.75992,0.92354,0.72764,0.82346,0.75992,0.86422,0.84067,0.84194,0.65419,0.04542,0.84639,1.36416,2.64069e-05,2.64069e-05,2.64069e-05
95,1096.02,0.22072,0.10917,0.03954,0.26784,0.84773,0.85638,0.74602,0.92354,0.73007,0.85638,0.74602,0.8644,0.84366,0.83503,0.64443,0.04395,0.8234,1.34473,2.31102e-05,2.31102e-05,2.31102e-05
96,1106.69,0.21147,0.12154,0.03974,0.2636,0.83413,0.84287,0.77207,0.93271,0.73847,0.84287,0.77207,0.86693,0.84485,0.81261,0.62062,0.04121,0.8101,1.34261,1.98135e-05,1.98135e-05,1.98135e-05
97,1116.63,0.2222,0.11145,0.03935,0.27249,0.83672,0.8516,0.74737,0.93271,0.73739,0.8516,0.74737,0.86696,0.8424,0.82784,0.63292,0.04173,0.80798,1.35949,1.65168e-05,1.65168e-05,1.65168e-05
98,1128.69,0.20849,0.10545,0.03798,0.25402,0.82418,0.8524,0.75308,0.93271,0.74236,0.8524,0.75308,0.86704,0.84383,0.82203,0.60024,0.0396,0.78039,1.34679,1.32201e-05,1.32201e-05,1.32201e-05
99,1138.53,0.20874,0.11308,0.0377,0.25285,0.83436,0.85552,0.74847,0.93271,0.74229,0.85552,0.74847,0.867,0.84258,0.82188,0.6069,0.03852,0.78283,1.34646,9.9234e-06,9.9234e-06,9.9234e-06
100,1149.07,0.20297,0.11205,0.03713,0.25298,0.83977,0.84279,0.75256,0.93271,0.74233,0.84279,0.75256,0.867,0.84646,0.82248,0.62929,0.03937,0.79603,1.349,6.6267e-06,6.6267e-06,6.6267e-06
